epoch,total,loss_f,loss_ic,loss_bc,lambda_f,lambda_ic,lambda_bc,n_f
139,0.8639780282974243,0.20171292126178741,0.09964294731616974,0.5626221299171448,1.0,1.0,1.0,2000
140,0.8631612658500671,0.20267875492572784,0.09965524077415466,0.5608272552490234,1.0,1.0,1.0,2000
141,0.8623263835906982,0.20370535552501678,0.09965582191944122,0.5589652061462402,1.0,1.0,1.0,2000
142,0.8614712953567505,0.2045867145061493,0.09965672343969345,0.5572278499603271,1.0,1.0,1.0,2000
143,0.8605952262878418,0.20564964413642883,0.09964752197265625,0.5552980899810791,1.0,1.0,1.0,2000
144,0.8596963286399841,0.20682905614376068,0.09964951127767563,0.5532177686691284,1.0,1.0,1.0,2000
145,0.8587732315063477,0.20787982642650604,0.09967046976089478,0.5512229204177856,1.0,1.0,1.0,2000
146,0.8578231334686279,0.20908282697200775,0.09966924041509628,0.5490710735321045,1.0,1.0,1.0,2000
147,0.856844425201416,0.21040713787078857,0.09966741502285004,0.5467698574066162,1.0,1.0,1.0,2000
148,0.8558342456817627,0.21163120865821838,0.09970150887966156,0.544501543045044,1.0,1.0,1.0,2000
149,0.854789674282074,0.21302121877670288,0.09972614794969559,0.5420423150062561,1.0,1.0,1.0,2000
150,0.8537066578865051,0.21451306343078613,0.09973353147506714,0.5394600629806519,1.0,1.0,1.0,2000
151,0.8525813817977905,0.21594570577144623,0.0997578352689743,0.5368778705596924,1.0,1.0,1.0,2000
152,0.8514086008071899,0.21758344769477844,0.09978173673152924,0.5340434312820435,1.0,1.0,1.0,2000
153,0.850182294845581,0.21928595006465912,0.09979883581399918,0.5310974717140198,1.0,1.0,1.0,2000
154,0.8488947153091431,0.22101160883903503,0.09981027990579605,0.5280728340148926,1.0,1.0,1.0,2000
155,0.8475368618965149,0.22299179434776306,0.0998172014951706,0.5247278809547424,1.0,1.0,1.0,2000
156,0.8460972309112549,0.2250022441148758,0.09984158724546432,0.5212534070014954,1.0,1.0,1.0,2000
157,0.8445607423782349,0.227180615067482,0.09985215216875076,0.5175279378890991,1.0,1.0,1.0,2000
158,0.8429082632064819,0.22965197265148163,0.0998506024479866,0.5134056806564331,1.0,1.0,1.0,2000
159,0.8411145210266113,0.2322002351284027,0.09987402707338333,0.5090402364730835,1.0,1.0,1.0,2000
160,0.8391442894935608,0.23510950803756714,0.09987568855285645,0.5041590929031372,1.0,1.0,1.0,2000
161,0.836948573589325,0.23834741115570068,0.09985554218292236,0.4987456202507019,1.0,1.0,1.0,2000
162,0.8344570398330688,0.24190649390220642,0.09983623772859573,0.4927143454551697,1.0,1.0,1.0,2000
163,0.8315623998641968,0.24600280821323395,0.09978477656841278,0.48577481508255005,1.0,1.0,1.0,2000
