num_train,depth,width,activation,seed,steps,lr,device,train_mse,test_mse,test_mae,test_max_abs,elapsed_sec
50,2,10,tanh,2024,3000,0.001,cpu,0.00042560577276162803,0.0005254835705272853,0.018758628517389297,0.0858137235045433,0.874350874999891
50,2,10,tanh,3407,3000,0.001,cpu,0.00029245339101180434,0.0004487678233999759,0.016031872481107712,0.10257626324892044,0.8827636630001052
50,2,20,tanh,1234,3000,0.001,cpu,4.8064495786093175e-05,0.00019211170729249716,0.008505318313837051,0.07873231917619705,0.8985651970001527
50,2,20,tanh,2024,3000,0.001,cpu,0.00027367411530576646,0.00026739275199361145,0.012293784879148006,0.07125338166952133,0.9040488169998753
50,2,20,tanh,3407,3000,0.001,cpu,5.127604890731163e-05,8.175028051482514e-05,0.006978975608944893,0.03834028169512749,0.9154487409998637
50,2,40,tanh,1234,3000,0.001,cpu,2.4825843865983188e-05,0.000142716322443448,0.006482405588030815,0.06836005300283432,0.9537417639999148
50,2,40,tanh,2024,3000,0.001,cpu,4.1573497583158314e-05,7.086326513672248e-05,0.006729264743626118,0.033271048218011856,0.9324386770001638
50,2,40,tanh,3407,3000,0.001,cpu,8.356381295016035e-05,0.00012802622222807258,0.009114684537053108,0.039872679859399796,0.9264182759998221
50,2,80,tanh,1234,3000,0.001,cpu,4.716255352832377e-05,0.00014226743951439857,0.008270805701613426,0.06368183344602585,1.2662257759998283
50,2,80,tanh,2024,3000,0.001,cpu,1.3242615750641562e-05,3.785328954108991e-05,0.0035384211223572493,0.03367988392710686,1.515172161999999
50,2,80,tanh,3407,3000,0.001,cpu,1.3656054761668202e-05,3.196449324605055e-05,0.003285819897428155,0.041426751762628555,1.350412322000011
50,3,10,tanh,1234,3000,0.001,cpu,0.00011099067342001945,0.00041435586172156036,0.01313010510057211,0.10830658674240112,1.0800216899999668
50,3,10,tanh,2024,3000,0.001,cpu,0.0001028176411637105,0.00019955702009610832,0.01071530394256115,0.03716456890106201,1.080438809999805
50,3,10,tanh,3407,3000,0.001,cpu,6.260299414861947e-05,0.00012170753325335681,0.007677625864744186,0.06566397100687027,1.0636729409998225
50,3,20,tanh,1234,3000,0.001,cpu,2.8179390938021243e-05,0.00016107750707305968,0.0065733883529901505,0.07732922583818436,1.0854774229999293
50,3,20,tanh,2024,3000,0.001,cpu,1.9725144738913514e-05,3.248073335271329e-05,0.004006667528301477,0.02754690870642662,1.0904202829999576
50,3,20,tanh,3407,3000,0.001,cpu,1.5667712432332337e-05,3.236545671825297e-05,0.0036487667821347713,0.03457069769501686,1.116028242000084
50,3,40,tanh,1234,3000,0.001,cpu,1.404030444973614e-05,0.00011562286090338603,0.005495262332260609,0.07403489947319031,1.1395869959999345
50,3,40,tanh,2024,3000,0.001,cpu,1.7432445019949228e-05,3.813250077655539e-05,0.004756511654704809,0.02735716663300991,1.1494224040000063
50,3,40,tanh,3407,3000,0.001,cpu,1.303545923292404e-05,2.4784119887044653e-05,0.0031812903471291065,0.02799978479743004,1.1448048839999956
50,3,80,tanh,1234,3000,0.001,cpu,5.518504622159526e-06,6.399997801054269e-05,0.003334017936140299,0.055471792817115784,1.536062991000108
50,3,80,tanh,2024,3000,0.001,cpu,1.1389036444597878e-05,2.653911360539496e-05,0.003904275596141815,0.02424682304263115,1.5287199439999313
50,3,80,tanh,3407,3000,0.001,cpu,1.0318188287783414e-05,2.0107003365410492e-05,0.003166723530739546,0.02585819736123085,1.4866531430000123
50,4,10,tanh,1234,3000,0.001,cpu,2.1125391867826693e-05,7.848864333936945e-05,0.0054018693044781685,0.05124436691403389,1.238598230999969
50,4,10,tanh,2024,3000,0.001,cpu,2.2592590539716184e-05,4.214447835693136e-05,0.004713150672614574,0.027378102764487267,1.233903213000076
50,4,10,tanh,3407,3000,0.001,cpu,0.0001437687169527635,0.00021952291717752814,0.010969743132591248,0.07918857783079147,1.2444619460000013
50,4,20,tanh,1234,3000,0.001,cpu,3.793109135585837e-05,0.00016157247591763735,0.007336953189224005,0.06801877170801163,1.2818546739999874
50,4,20,tanh,2024,3000,0.001,cpu,2.8443098926800303e-05,4.5141492591938004e-05,0.004829420242458582,0.030117105692625046,1.2692518359999667
50,4,20,tanh,3407,3000,0.001,cpu,1.2957307262695394e-05,2.4414572180830874e-05,0.003376985667273402,0.023797575384378433,1.2639756819999093
50,4,40,tanh,1234,3000,0.001,cpu,8.719592005945742e-05,0.0004058566701132804,0.011903061531484127,0.10974834114313126,1.3769973390001269
50,4,40,tanh,2024,3000,0.001,cpu,1.9516914107953198e-05,3.201598519808613e-05,0.0041016023606061935,0.02622387185692787,1.3791798039999321
50,4,40,tanh,3407,3000,0.001,cpu,1.64253287948668e-05,3.285601633251645e-05,0.0038180751726031303,0.03546938672661781,1.3899475619998611
50,4,80,tanh,1234,3000,0.001,cpu,1.4271063264459372e-05,8.047227311180905e-05,0.004605492576956749,0.04896676912903786,1.9293397980000009
50,4,80,tanh,2024,3000,0.001,cpu,0.00282320287078619,0.0024776607751846313,0.045342620462179184,0.08625345677137375,1.8291068589999213
